symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TCS,2020-01-02 00:00:00+00:00,4.27,4.37,4.17,4.29,142791,4.0174084507,4.1114929577,3.9233239437,4.0362253521,142791,0.0,1.0
TCS,2020-01-03 00:00:00+00:00,4.28,4.32,4.18,4.22,141542,4.0268169014,4.0644507042,3.9327323944,3.9703661972,141542,0.0,1.0
TCS,2020-01-06 00:00:00+00:00,4.45,4.46,4.2,4.23,118495,4.1867605634,4.1961690141,3.9515492958,3.9797746479,118495,0.0,1.0
TCS,2020-01-07 00:00:00+00:00,4.39,4.45,4.31,4.44,104453,4.1303098592,4.1867605634,4.0550422535,4.1773521127,104453,0.0,1.0
TCS,2020-01-08 00:00:00+00:00,4.34,4.45,4.33,4.36,213375,4.0832676056,4.1867605634,4.0738591549,4.102084507,213375,0.0,1.0
TCS,2020-01-09 00:00:00+00:00,4.12,4.35,4.11,4.35,196009,3.8762816901,4.0926760563,3.8668732394,4.0926760563,196009,0.0,1.0
TCS,2020-01-10 00:00:00+00:00,4.04,4.16,3.95,4.16,383171,3.8010140845,3.913915493,3.7163380282,3.913915493,383171,0.0,1.0
TCS,2020-01-13 00:00:00+00:00,4.11,4.13,3.9884,4.05,223623,3.8668732394,3.8856901408,3.7524664789,3.8104225352,223623,0.0,1.0
TCS,2020-01-14 00:00:00+00:00,4.31,4.4,4.05,4.12,452611,4.0550422535,4.1397183099,3.8104225352,3.8762816901,452611,0.0,1.0
TCS,2020-01-15 00:00:00+00:00,4.76,4.79,4.2963,4.35,354584,4.4784225352,4.5066478873,4.0421526761,4.0926760563,354584,0.0,1.0
TCS,2020-01-16 00:00:00+00:00,4.58,4.79,4.47,4.79,373050,4.3090704225,4.5066478873,4.2055774648,4.5066478873,373050,0.0,1.0
TCS,2020-01-17 00:00:00+00:00,4.55,4.65,4.51,4.64,206608,4.2808450704,4.3749295775,4.2432112676,4.3655211268,206608,0.0,1.0
TCS,2020-01-21 00:00:00+00:00,4.48,4.57,4.37,4.57,181737,4.2149859155,4.2996619718,4.1114929577,4.2996619718,181737,0.0,1.0
TCS,2020-01-22 00:00:00+00:00,4.47,4.53,4.44,4.52,99039,4.2055774648,4.262028169,4.1773521127,4.2526197183,99039,0.0,1.0
TCS,2020-01-23 00:00:00+00:00,4.56,4.59,4.34,4.47,206900,4.2902535211,4.3184788732,4.0832676056,4.2055774648,206900,0.0,1.0
TCS,2020-01-24 00:00:00+00:00,4.22,4.59,4.22,4.59,194992,3.9703661972,4.3184788732,3.9703661972,4.3184788732,194992,0.0,1.0
